ZALADUNEK
2016-01,76
2016-02,8
2016-03,0
2016-04,68
2016-05,0
2016-06,42
2016-07,83
2016-08,0
2016-09,44
2016-10,0
2016-11,30
2016-12,0
2017-01,39
2017-02,0
2017-03,35
2017-04,1
2017-05,33
2017-06,8
2017-07,42
2017-08,4
2017-09,0
2017-10,0
2017-11,12
2017-12,0
2018-01,10
2018-02,34
2018-03,0
2018-04,5
2018-05,0
2018-06,95
2018-07,25
2018-08,22
2018-09,0
2018-10,20
2018-11,48
2018-12,0

WYLADUNEK
2016-01,32
2016-02,0
2016-03,50
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,191
2016-09,4
2016-10,0
2016-11,0
2016-12,0
2017-01,112
2017-02,1
2017-03,0
2017-04,0
2017-05,68
2017-06,0
2017-07,0
2017-08,48
2017-09,0
2017-10,6
2017-11,1
2017-12,0
2018-01,22
2018-02,0
2018-03,34
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,121
2018-09,26
2018-10,0
2018-11,64
2018-12,4

